date,Device category,Gender,Age,City,Kanal ID,Article ID,Total users,Views,categoryauto_new_rank1
20250727,desktop,female,45-54,Jakarta,2-1870-1871,8031165,26,26,
20250727,desktop,female,45-54,Jakarta,2-1893-1894,8030834,10,10,
20250727,desktop,female,45-54,Jakarta,2-1893-1896,8029012,29,106,
20250727,desktop,female,45-54,Jakarta,2-1909-1954,8030743,10,12,
20250727,desktop,female,45-54,Jakarta,2-207,(not set),33,74,
20250727,desktop,female,45-54,Jakarta,2-207-208-214-230,8030815,10,10,
20250727,desktop,female,45-54,Jakarta,2-207-208-214-230,8031517,10,11,
20250727,desktop,female,45-54,Jakarta,2-207-431-1696,8030378,62,582,
20250727,desktop,female,45-54,Jakarta,2-207-431-1696,8031539,10,93,
20250727,desktop,female,45-54,Jakarta,2-2109-2110-2137,8029011,16,17,
20250727,desktop,female,45-54,Jakarta,2-2109-2156,8030375,24,25,
20250727,desktop,female,45-54,Jakarta,2-2175-2178,8029934,19,70,
20250727,desktop,female,45-54,Jakarta,2-2175-2178,8030842,28,30,
20250727,desktop,female,45-54,Jakarta,2-284-293-297,8030532,17,17,
20250727,desktop,female,45-54,Jakarta,2-3,(not set),15,27,
20250727,desktop,female,45-54,Jakarta,2-3-1035-5,8031256,21,23,
20250727,desktop,female,45-54,Jakarta,2-3-814-4,8029945,14,43,
20250727,desktop,female,45-54,Jakarta,2-3-814-4,8030389,52,54,
20250727,desktop,female,45-54,Jakarta,2-3-814-4,8030844,14,15,
20250727,desktop,female,45-54,Jakarta,2-605,(not set),71,161,
20250727,desktop,female,45-54,Jakarta,2-605-10,8031832,12,14,
20250727,desktop,female,45-54,Jakarta,2-605-10,8031896,19,19,
20250727,desktop,female,45-54,Jakarta,2-605-1147-1148,8030628,16,42,
20250727,desktop,female,45-54,Jakarta,2-605-1147-1148,8031443,28,32,
20250727,desktop,female,45-54,Jakarta,2-638-648,8028380,20,20,
20250727,desktop,female,45-54,Jakarta,2-69-70,(not set),17,23,
20250727,desktop,female,45-54,Jakarta,2-69-70-71,8031709,11,11,
20250727,desktop,female,45-54,Jakarta,2-69-79,8031733,14,14,
20250727,desktop,female,45-54,Jakarta,2-755-1441-1069-763,8031161,14,47,
20250727,desktop,female,45-54,Jakarta,2-835,(not set),12,32,
20250727,desktop,female,45-54,Jakarta,2-835-1134-1137,8028476,10,40,
20250727,desktop,female,45-54,Jakarta,2-835-1134-1137,8031414,10,10,
20250727,desktop,female,45-54,Jakarta,2-835-1134-1548,8028551,14,188,
20250727,desktop,female,45-54,Jakarta,2-835-1134-1548,8029646,37,443,
20250727,desktop,female,45-54,Jakarta,2-835-1134-1548,8031629,21,264,
20250727,desktop,female,45-54,Jakarta,2-835-836-233,8031039,15,15,
20250727,desktop,female,45-54,Jambi,(not set),(not set),18,33,
20250727,desktop,female,45-54,Jember,(not set),(not set),19,24,
20250727,desktop,female,45-54,Kediri,(not set),(not set),22,37,
20250727,desktop,female,45-54,Kendari,(not set),(not set),10,23,
